STT,key,id,day,start,count,room,teacher,class,member,name,weight,week
1,AN407C,M01,4,6,3,405/D2,,DA1866T1,50,Độc tố trong động vật và thực phẩm,3,12**5678901234567***
2,AQ059,M01,6,3,3,404/TS,,TS2013T1,40,Toán cao cấp,3,12**5678901234567***
3,AQ101,M01,3,1,2,404/TS,,TS2013T1,40,Tiếng Anh Nuôi trồng thủy sản 1,2,12**5678901234567***
4,AQ205C,M01,5,8,2,404/TS,,TS1913T1,50,Vi sinh,3,12**5678901234567***
5,AQ205C,M01,4,1,2,404/TS,,TS1913T1,50,Vi sinh,3,12**5678901234567***
6,AQ207,M01,6,6,3,404/TS,,TS1913T1,50,Khoa học môi trường nước,3,12**5678901234567***
7,AQ208,M01,3,3,3,404/TS,,TS1913T1,50,Phân loại học đại cương,3,12**5678901234567***
8,AQ209,M01,4,3,3,404/TS,,TS1913T1,50,Ao hồ học,3,12**5678901234567***
9,AQ210,M01,5,6,3,204/TS,,TS1813T1,50,Sinh thái học đại cương,2,12**5678901234567***
10,AQ211,M01,3,6,4,404/TS,,TS1913T1,50,Sinh lý động vật thủy sản,3,12**5678901234567***
11,AQ216,M01,4,4,2,304/TS,,TS1813T1,50,Phương pháp nghiên cứu khoa học,2,12**5678901234567***
12,AQ217,M01,0,0,0,,,TS1813T1,50,Thực tập giáo trình cơ sở,4,12**5678901234567***
13,AQ301,M01,0,0,0,,,TS1813T1,50,Kỹ thuật nuôi thủy sản,4,12**5678901234567***
14,AQ302,M01,4,1,2,304/TS,,TS1813T1,50,Quản lý trại giống cá,4,12**5678901234567***
15,AQ302,M01,3,1,2,304/TS,,TS1813T1,50,Quản lý trại giống cá,4,12**5678901234567***
16,AQ309,M01,3,2,3,204/TS,,TS1713T1,50,Thiết bị và công trình thủy sản,3,12**5678901234567***
17,AQ311,M01,5,1,2,204/TS,,TS1713T1,50,Quy hoạch phát triển thủy sản,2,12**5678901234567***
18,AQ312C,M01,6,1,3,304/TS,,TS1713T1,50,Kinh tế thủy sản,3,12**5678901234567***
19,AQ313,M01,4,2,2,204/TS,,TS1713T1,50,Luật thủy sản,2,12**5678901234567***
20,AQ314,M01,6,4,2,204/TS,,TS1713T1,50,Khuyến nông,2,12**5678901234567***
21,AQ315,M01,0,0,0,,,TS1713T1,50,Thuyết trình,1,12**5678901234567***
